"Estacion","Fecha inicial","Fecha final","CO"
"SOGAMOSO-MOVIL KOICA","2020-10-19","","336.58565217"
"SOGAMOSO-MOVIL KOICA","2020-10-18","","420.18333333"
"SOGAMOSO-MOVIL KOICA","2020-10-17","","321.71375"
"SOGAMOSO-MOVIL KOICA","2020-10-16","","368.50695652"
"SOGAMOSO-MOVIL KOICA","2020-10-15","","318.61"
"SOGAMOSO-MOVIL KOICA","2020-10-14","","716.75818182"
"SOGAMOSO-MOVIL KOICA","2020-10-13","","288.67666667"
"SOGAMOSO-MOVIL KOICA","2020-10-12","","535.18083333"
"SOGAMOSO-MOVIL KOICA","2020-10-11","","595.3725"
"SOGAMOSO-MOVIL KOICA","2020-10-10","","561.34875"
"SOGAMOSO-MOVIL KOICA","2020-10-09","","713.89304348"
"SOGAMOSO-MOVIL KOICA","2020-10-08","","754.63958333"
"SOGAMOSO-MOVIL KOICA","2020-10-07","","698.33782609"
"SOGAMOSO-MOVIL KOICA","2020-10-06","","762.11045455"
"SOGAMOSO-MOVIL KOICA","2020-10-05","","511.81652174"
"SOGAMOSO-MOVIL KOICA","2020-10-04","","415.69652174"
"SOGAMOSO-MOVIL KOICA","2020-10-03","","696.88791667"
"SOGAMOSO-MOVIL KOICA","2020-10-02","","894.48956522"
"SOGAMOSO-MOVIL KOICA","2020-10-01","","464.41409091"
"SOGAMOSO-MOVIL KOICA","2020-09-30","","388.07391304"
"SOGAMOSO-MOVIL KOICA","2020-09-29","","281.2326087"
"SOGAMOSO-MOVIL KOICA","2020-09-28","","441.66125"
"SOGAMOSO-MOVIL KOICA","2020-09-27","","987.45625"
"SOGAMOSO-MOVIL KOICA","2020-09-26","","332.93583333"
"SOGAMOSO-MOVIL KOICA","2020-09-25","","430.81181818"
"SOGAMOSO-MOVIL KOICA","2020-09-24","","337.43565217"
"SOGAMOSO-MOVIL KOICA","2020-09-23","","406.12791667"
"SOGAMOSO-MOVIL KOICA","2020-09-22","","540.95375"
"SOGAMOSO-MOVIL KOICA","2020-09-21","","243.85478261"
"SOGAMOSO-MOVIL KOICA","2020-09-20","","535.8575"
"SOGAMOSO-MOVIL KOICA","2020-09-19","","513.28375"
"SOGAMOSO-MOVIL KOICA","2020-09-18","","644.10869565"
"SOGAMOSO-MOVIL KOICA","2020-09-17","","767.83916667"
"SOGAMOSO-MOVIL KOICA","2020-09-16","","682.34416667"
"SOGAMOSO-MOVIL KOICA","2020-09-15","","531.37695652"
"SOGAMOSO-MOVIL KOICA","2020-09-14","","423.70083333"
"SOGAMOSO-MOVIL KOICA","2020-09-13","","693.3725"
"SOGAMOSO-MOVIL KOICA","2020-09-12","","497.68416667"
"SOGAMOSO-MOVIL KOICA","2020-09-11","","699.38958333"
"SOGAMOSO-MOVIL KOICA","2020-09-10","","536.79434783"
"SOGAMOSO-MOVIL KOICA","2020-09-09","","774.3825"
"SOGAMOSO-MOVIL KOICA","2020-09-08","","527.47541667"
"SOGAMOSO-MOVIL KOICA","2020-09-07","","739.72333333"
"SOGAMOSO-MOVIL KOICA","2020-09-06","","484.61368421"
"SOGAMOSO-MOVIL KOICA","2020-09-05","","499.175"
"SOGAMOSO-MOVIL KOICA","2020-09-04","","575.64590909"
"SOGAMOSO-MOVIL KOICA","2020-09-03","","572.69347826"
"SOGAMOSO-MOVIL KOICA","2020-09-02","","745.12272727"
"SOGAMOSO-MOVIL KOICA","2020-09-01","","263.77761905"
"SOGAMOSO-MOVIL KOICA","2020-08-31","","212.12"
